,ID,incidence,product_cat,product_cat1,product_cat2,brand_1,brand_2,brand_3,quant_1,quant_2,quant_3,total_quantity,item_price_1,item_price_2,item_price_3,total price,creation_hour,creation_week,creation_day,dest_long,dest_lat,zip_code,population_denisty,median_household_income,sex,distance,DOB_year,age,Settlement_size,Labels,Segment K-means PCA,creation_time
1215,p11157131,1,No info,Vapes,Vapes,Sira Naturals,Entourage,Entourage,1,1,1,3,30.0,65.0,40.0,381.89,16,10,4,-71.012726,42.291683,2171.0,7215.0,64812.0,0.0,6.8975,1971.0,51.0,0.0,Well-Off,1.0,2021-03-11
1216,P11207174,1,Pre-rolls,Pre-rolls,Pre-rolls,Entourage,The Heirloom Collective,Curaleaf,1,1,1,3,15.0,13.0,15.0,183.00,8,10,5,-71.130083,42.411072,2144.0,22082.0,78380.0,0.0,2.9865,1991.0,31.0,1.0,Well-Off,1.0,2021-03-12
1217,p11038400,0,Tincture,Edibles,No info,Sira Naturals,Wicked Sour,,1,1,0,2,120.0,30.0,0.0,150.00,19,10,4,-71.1614456,42.4286931,2474.0,8620.0,87225.0,1.0,2.748,1978.0,44.0,1.0,Standard,2.0,2021-03-11
1218,P11111497,1,Vapes,Vapes,Flower,Mayflower (MA),Sira Naturals,Cresco Labs ,1,1,1,3,55.0,55.0,55.0,175.62,11,10,4,-71.044425,42.266546,2186.0,2075.0,111071.0,1.0,6.2162,1956.0,66.0,1.0,Working Professional,0.0,2021-03-11
1219,p11193181,1,Flower,Flower,No info,Patriot Care,Nantucket Nuggets,Nantucket Nuggets,2,1,1,4,140.0,70.0,70.0,260.00,8,10,5,-71.1629077,42.4311107,2474.0,8620.0,87225.0,0.0,2.012,1998.0,24.0,1.0,Standard,2.0,2021-03-12
1220,P11173923,1,Edibles,Edibles,No info,Rythm,Betty's Eddies,Mayflower (MA),2,1,1,4,40.0,20.0,55.0,350.00,10,10,4,-71.184325,42.43147,2474.0,8620.0,87225.0,0.0,3.4591,1980.0,42.0,1.0,Standard,2.0,2021-03-11
1221,P11075418,1,No info,Flower,Tincture,Cresco ,Cresco Labs ,Farm to Fam,2,2,4,8,110.0,110.0,180.0,400.00,8,10,5,-70.9923405,42.2522903,2169.0,6137.0,58669.0,1.0,5.844,1954.0,68.0,2.0,Well-Off,1.0,2021-03-12
1222,P11085885,1,Vapes,Edibles,Edibles,Chroma,Chroma,Central Ave Compassionate Care,1,1,2,4,100.0,140.0,30.0,300.00,17,10,4,-71.241617,42.467768,2420.0,2134.0,147924.0,1.0,7.4826,1989.0,33.0,0.0,Standard,2.0,2021-03-11
1223,P11035102,1,Edibles,Edibles,Flower,Jimmy's Choice,Wicked Sour,Sira Naturals Reserve,2,2,2,6,120.0,60.0,110.0,323.02,8,10,5,-71.057215,42.204825,2368.0,3192.0,62152.0,1.0,11.442,1987.0,35.0,1.0,Working Professional,0.0,2021-03-12
1224,P11007960,1,Edibles,Edibles,Edibles,Sira Naturals Prerolls,Cannatini,Betty's Eddies,1,1,1,3,30.0,30.0,20.0,335.00,16,10,4,-70.9621826,42.4664666,1905.0,7094.0,42490.0,1.0,31.5,1966.0,56.0,1.0,Well-Off,1.0,2021-03-11
1225,P11169615,1,Concentrate,Flower,Concentrate,Nantucket Nuggets,Origyn,Origyn,1,1,1,3,70.0,70.0,70.0,385.00,17,10,4,-71.086058,42.144659,2072.0,1678.0,74262.0,1.0,11.209,1974.0,48.0,1.0,Working Professional,0.0,2021-03-11
1226,P11202713,1,Merchandise,Vapes,Edibles,Betty's Eddies,Entourage,Betty's Eddies,1,1,1,3,70.0,65.0,20.0,159.37,8,10,5,-71.058565,42.419544,2148.0,11797.0,53798.0,1.0,11.947,1988.0,34.0,2.0,Well-Off,1.0,2021-03-12
1227,P11146080,1,No info,Concentrate,Edibles,Jimmy's Choice,253,Mindy's Edibles,1,1,1,3,55.0,60.0,30.0,370.00,13,10,4,-71.20013,42.196913,2062.0,2761.0,75957.0,0.0,21.574,1967.0,55.0,1.0,Working Professional,0.0,2021-03-11
1228,P11206523,1,No info,Flower,No info,253,Sira Naturals Premium,AMP,1,1,1,3,55.0,45.0,55.0,210.00,13,10,4,-71.0626141,42.4010632,2149.0,12128.0,49368.0,1.0,3.042,1984.0,38.0,2.0,Well-Off,1.0,2021-03-11
1229,11172238,1,No info,No info,No info,Jimmy's Choice,Sira Naturals Premium,,2,2,0,4,90.0,90.0,0.0,180.00,18,10,4,-71.153249,42.24578,2026.0,2412.0,84704.0,1.0,1.8656,1985.0,37.0,1.0,Working Professional,0.0,2021-03-11
1230,11154991,1,Edibles,Edibles,Edibles,Entourage,Wicked Sour,Chroma,1,1,1,3,60.0,30.0,140.0,200.01,8,10,4,-71.020825,42.400241,2150.0,15907.0,47291.0,0.0,5.8712,1968.0,54.0,1.0,Well-Off,1.0,2021-03-11
1231,P111132000,1,No info,Pre-rolls,Pre-rolls,Entourage,Sira Naturals Prerolls,Sira Naturals Prerolls,2,1,2,5,140.0,15.0,30.0,411.00,8,10,5,-71.1343843,42.2421216,2136.0,6207.0,58890.0,0.0,9.0282,1962.0,60.0,1.0,Working Professional,0.0,2021-03-12
1232,P11215054,1,Pre-rolls,Pre-rolls,Flower,Cresco ,AMP,Gibby's Garden,2,1,2,5,30.0,15.0,30.0,170.00,8,10,5,-71.1659863,42.3010635,2467.0,4616.0,115493.0,0.0,7.4703,1982.0,40.0,1.0,Standard,2.0,2021-03-12
1233,P11071843,1,Edibles,No info,No info,Nantucket Nuggets,,,10,0,0,10,200.0,0.0,0.0,200.00,9,10,4,-70.968988,42.388347,2152.0,8871.0,64548.0,1.0,7.0511,1956.0,66.0,0.0,Well-Off,1.0,2021-03-11
1234,P11114917,1,Flower,Pre-rolls,Pre-rolls,Origyn,Mayflower (MA),Resinate,4,4,4,12,60.0,60.0,36.0,156.00,14,10,4,-70.9935246,42.3761436,2152.0,8871.0,64548.0,0.0,3.0868,1963.0,59.0,0.0,Well-Off,1.0,2021-03-11
1235,P11160517,1,Flower,No info,Flower,Origyn,Nantucket Nuggets,Nantucket Nuggets,1,1,1,3,70.0,70.0,70.0,210.00,18,10,4,-71.2188441,42.3155895,2464.0,5227.0,81771.0,1.0,9.4048,1980.0,42.0,0.0,Standard,2.0,2021-03-11
1236,P11007522,1,Vapes,Vapes,Vapes,Sira Naturals Reserve,253,Entourage,1,1,1,3,70.0,60.0,65.0,195.00,10,10,4,-71.165603,42.372442,2472.0,7942.0,87775.0,1.0,10.867,1982.0,40.0,1.0,Standard,2.0,2021-03-11
